review_id,lang,sent_id,sentence,aspect,aspect_text,hit_keywords,label_id,label,review_rating,review_created_at,created_at,updated_at
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SZlQzVnFjRGxOZUZKWFpraHJVR2RIYVVWalFsRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOmRfT3VqcDlNeFJXZkhrUGdHaUVjQlE%7C0dTSZhpUD78%7C?hl=en,vi,3,"Điểm cộng là thiết kế mới nên nhìn sạch sẽ, gọn gàng; lối đi rộng, ít cảm giác chật chội",cleanliness_toilets,Vệ sinh và nhà vệ sinh,sạch,1,positive,5,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SZlQzVnFjRGxOZUZKWFpraHJVR2RIYVVWalFsRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOmRfT3VqcDlNeFJXZkhrUGdHaUVjQlE%7C0dTSZhpUD78%7C?hl=en,vi,5,Nhân viên hỗ trợ nhìn chung thân thiện và xử lý thủ tục nhanh,staff_service,Nhân viên và phục vụ,"nhân viên hỗ trợ, thân thiện, nhân viên, hỗ trợ",1,positive,5,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SZlQzVnFjRGxOZUZKWFpraHJVR2RIYVVWalFsRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOmRfT3VqcDlNeFJXZkhrUGdHaUVjQlE%7C0dTSZhpUD78%7C?hl=en,vi,6,"Tuy nhiên, do còn khá mới nên một số khu dịch vụ ăn uống và mua sắm chưa thật sự đa dạng",food_beverage,Đồ ăn và thức uống,ăn uống,1,positive,5,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SZlQzVnFjRGxOZUZKWFpraHJVR2RIYVVWalFsRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOmRfT3VqcDlNeFJXZkhrUGdHaUVjQlE%7C0dTSZhpUD78%7C?hl=en,vi,9,"Hy vọng trong thời gian tới, các dịch vụ được hoàn thiện thêm để đáp ứng tốt hơn lượng khách ngày càng đông",queue_waiting,Xếp hàng và chờ đợi,đông,1,positive,5,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWUU16WnZhazV6U0daSlF6UlNkblJKZVVWSmVtYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOkVQMzZvak5zSGZJQzRSdnRJeUVJemc%7C0dTMFDnhosK%7C?hl=en,en,1,You better arrive 3 hours before departure if you need to check in at the airport,checkin_boarding,check-in and boarding,check in,0,negative,1,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKVU0wZHZla1JRVlc1b1IySjBabGRFVFhwbVRGRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlJUM0dvekRQVW5oR2J0ZldETXpmTFE%7C0dTJ4RWDvgE%7C?hl=en,en,1,It is well known that the immigration lines are long and there are ways to improve that experience,immigration_customs,immigration and customs,immigration,1,positive,4,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKVU0wZHZla1JRVlc1b1IySjBabGRFVFhwbVRGRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlJUM0dvekRQVW5oR2J0ZldETXpmTFE%7C0dTJ4RWDvgE%7C?hl=en,en,3,The airport itself offers free Wi-Fi and all essential services as an airport,wifi_internet,wifi and internet,wi-fi,1,positive,4,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoWU1Wb3ROMFJoWkhSWlNFcHRXRlpaWlRSQmNFRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlhYMVotN0RhZHRZSEptWFZZZTRBcEE%7C0dT1w6tTVTS%7C?hl=en,en,0,Staff here are the rudest people ever,staff_service,staff and service,staff,0,negative,1,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoWU1Wb3ROMFJoWkhSWlNFcHRXRlpaWlRSQmNFRRAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOlhYMVotN0RhZHRZSEptWFZZZTRBcEE%7C0dT1w6tTVTS%7C?hl=en,en,3,Train your staff better and maybe don t assume every Asian you see is vietnamese,staff_service,staff and service,staff,0,negative,1,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSS0xVeHNVbmx1WWswMGJscFNVME16WjA1dlRuYxAB!2m1!1s0x0:0xd8f09cc0aa1b27f3!3m1!1s2@1:CAIQACodChtycF9oOjRKLUxsUnluYk00blpSU0MzZ05vTnc%7C0dSvAzVgLEw%7C?hl=en,en,2,"The space inside can get packed quickly, especially during busy hours",queue_waiting,queue and waiting,packed,1,positive,5,2026-02-26 02:16:26.952,2026-03-16 02:37:07.402055+00:00,2026-03-16 02:37:07.402055+00:00
